0.00;0.07
0.00;0.21
0.03;0.31
0.42;0.34
0.74;0.31
0.93;0.24
1.05;0.14
0.98;0.00
0.77;0.00
0.46;0.00
0.10;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.19;0.33
0.54;0.34
0.83;0.29
1.00;0.21
1.04;0.09
0.92;0.00
0.68;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.13
0.00;0.29
0.32;0.34
0.65;0.33
0.89;0.27
1.03;0.16
1.02;0.04
0.86;0.00
0.58;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.31
0.42;0.34
0.74;0.31
0.96;0.24
1.05;0.13
0.98;0.00
0.78;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.17;0.33
0.54;0.34
0.83;0.29
1.00;0.22
1.04;0.09
0.92;0.00
0.68;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.18;0.33
0.54;0.33
0.83;0.29
1.01;0.20
1.04;0.08
0.92;0.00
0.67;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.28
0.30;0.33
0.65;0.33
0.90;0.21
1.03;0.16
1.01;0.04
0.86;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.31
0.41;0.34
0.74;0.32
0.96;0.24
1.05;0.13
0.97;0.00
0.77;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.18;0.33
0.54;0.34
0.83;0.29
1.00;0.21
1.04;0.08
0.92;0.00
0.67;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.28
0.30;0.35
0.65;0.33
0.91;0.27
1.03;0.17
1.01;0.04
0.86;0.00
0.58;0.00
0.22;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.31
0.42;0.33
0.75;0.31
0.95;0.24
1.04;0.13
0.96;0.00
0.78;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.10
0.00;0.24
0.17;0.33
0.54;0.33
0.83;0.29
1.01;0.21
1.04;0.09
0.92;0.00
0.67;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.16
0.00;0.22
0.30;0.33
0.65;0.33
0.87;0.27
1.03;0.15
1.01;0.04
0.85;0.00
0.57;0.00
0.22;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.03;0.31
0.43;0.34
0.74;0.29
0.96;0.22
1.04;0.13
0.97;0.00
0.77;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.10
0.00;0.25
0.18;0.33
0.54;0.34
0.83;0.29
1.01;0.21
1.04;0.09
0.92;0.00
0.68;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.28
0.31;0.32
0.65;0.33
0.90;0.26
1.03;0.19
1.02;0.06
0.86;0.00
0.58;0.00
0.22;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.32
0.42;0.34
0.74;0.32
0.98;0.24
1.02;0.12
0.97;0.00
0.77;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.17;0.33
0.51;0.34
0.83;0.29
1.01;0.20
1.04;0.09
0.92;0.00
0.68;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.30
0.29;0.34
0.65;0.34
0.90;0.27
1.03;0.17
1.04;0.04
0.86;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.21
0.04;0.33
0.43;0.34
0.75;0.31
0.96;0.24
1.04;0.10
0.97;0.00
0.77;0.00
0.46;0.00
0.07;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.11
0.00;0.25
0.17;0.33
0.54;0.34
0.83;0.30
1.00;0.21
1.06;0.09
0.92;0.00
0.67;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.30
0.30;0.34
0.68;0.33
0.90;0.23
1.04;0.17
1.02;0.07
0.86;0.00
0.58;0.00
0.20;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.32
0.36;0.34
0.70;0.33
0.91;0.25
1.04;0.15
0.96;0.02
0.81;0.00
0.52;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.23
0.11;0.32
0.49;0.35
0.79;0.30
0.99;0.22
1.04;0.11
0.95;0.00
0.73;0.00
0.40;0.00
0.02;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.13
0.00;0.27
0.23;0.34
0.59;0.33
0.87;0.32
1.02;0.19
1.03;0.05
0.89;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.18
0.00;0.30
0.38;0.34
0.71;0.32
0.93;0.25
1.04;0.16
0.99;0.02
0.82;0.00
0.51;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.23
0.11;0.32
0.48;0.34
0.79;0.26
0.98;0.22
1.05;0.11
0.98;0.00
0.77;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.17;0.33
0.54;0.34
0.83;0.29
1.01;0.21
1.04;0.08
0.92;0.00
0.66;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.30
0.30;0.34
0.65;0.34
0.90;0.27
1.03;0.18
1.01;0.04
0.88;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.30
0.37;0.34
0.69;0.32
0.94;0.25
1.04;0.15
1.00;0.01
0.82;0.00
0.52;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.23
0.11;0.29
0.47;0.34
0.79;0.30
0.95;0.22
1.04;0.11
0.95;0.00
0.73;0.00
0.37;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.18;0.33
0.53;0.34
0.83;0.25
1.00;0.21
1.04;0.10
0.92;0.00
0.68;0.00
0.33;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.13
0.00;0.27
0.24;0.33
0.60;0.33
0.87;0.28
1.02;0.17
1.02;0.06
0.88;0.00
0.63;0.00
0.26;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.20
0.00;0.30
0.36;0.34
0.69;0.30
0.93;0.25
1.04;0.15
0.99;0.00
0.82;0.00
0.53;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.22
0.11;0.33
0.48;0.37
0.79;0.31
0.96;0.22
1.05;0.11
0.95;0.00
0.72;0.00
0.40;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.14
0.00;0.26
0.24;0.33
0.59;0.33
0.87;0.32
1.02;0.19
1.03;0.06
0.89;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.30
0.34;0.34
0.70;0.32
0.93;0.25
1.04;0.15
1.00;0.02
0.81;0.00
0.51;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.23
0.10;0.35
0.48;0.35
0.79;0.30
0.99;0.23
1.04;0.11
0.94;0.00
0.72;0.00
0.40;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.17;0.33
0.55;0.34
0.83;0.29
1.01;0.21
1.04;0.09
0.92;0.00
0.66;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.29
0.30;0.34
0.65;0.34
0.90;0.25
1.03;0.17
1.01;0.02
0.85;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.09
0.00;0.21
0.04;0.31
0.43;0.34
0.75;0.31
0.96;0.24
1.04;0.13
0.98;0.00
0.77;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.10
0.00;0.19
0.18;0.42
0.54;0.34
0.83;0.31
1.00;0.21
1.05;0.08
0.92;0.00
0.66;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.15
0.00;0.28
0.30;0.34
0.65;0.34
0.90;0.28
1.03;0.16
0.99;0.04
0.87;0.00
0.57;0.00
0.28;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.29
0.37;0.34
0.67;0.32
0.93;0.25
1.03;0.15
1.00;0.00
0.81;0.00
0.53;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.07
0.00;0.21
0.03;0.31
0.43;0.34
0.75;0.31
0.93;0.24
1.04;0.13
0.98;0.00
0.73;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.11
0.00;0.25
0.17;0.32
0.57;0.34
0.83;0.29
1.01;0.21
1.04;0.06
0.92;0.00
0.68;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.15
0.00;0.28
0.30;0.34
0.65;0.33
0.90;0.27
1.04;0.17
1.01;0.04
0.85;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.19
0.04;0.31
0.43;0.34
0.74;0.31
0.96;0.24
1.05;0.12
0.97;0.00
0.77;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.18;0.33
0.54;0.33
0.83;0.31
1.00;0.17
1.02;0.08
0.92;0.00
0.68;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.14
0.00;0.28
0.31;0.32
0.65;0.33
0.88;0.27
1.01;0.17
1.01;0.02
0.86;0.00
0.56;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.30
0.43;0.34
0.74;0.31
0.96;0.24
1.04;0.12
0.97;0.00
0.77;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.16;0.33
0.54;0.34
0.83;0.29
1.01;0.18
1.06;0.08
0.95;0.00
0.68;0.00
0.33;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.28
0.30;0.34
0.65;0.33
0.90;0.27
1.03;0.20
1.01;0.00
0.85;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.01;0.30
0.43;0.34
0.74;0.31
0.96;0.24
1.04;0.13
0.97;0.00
0.77;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.11
0.00;0.25
0.18;0.32
0.54;0.34
0.83;0.29
1.01;0.22
1.04;0.08
0.92;0.00
0.68;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.16
0.00;0.29
0.30;0.34
0.66;0.33
0.90;0.27
1.05;0.17
1.01;0.03
0.85;0.00
0.58;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.05;0.31
0.43;0.34
0.75;0.32
0.96;0.23
1.04;0.12
0.97;0.00
0.77;0.00
0.50;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.24
0.11;0.37
0.48;0.34
0.79;0.31
1.00;0.22
1.04;0.08
0.95;0.00
0.72;0.00
0.40;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.13
0.00;0.27
0.24;0.33
0.60;0.33
0.87;0.27
1.02;0.19
1.03;0.07
0.89;0.00
0.62;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.29
0.37;0.34
0.69;0.33
0.94;0.29
1.04;0.16
0.99;0.02
0.81;0.00
0.51;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.22
0.11;0.32
0.48;0.31
0.79;0.30
0.99;0.22
1.04;0.12
0.95;0.00
0.73;0.00
0.39;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.15
0.00;0.27
0.24;0.33
0.59;0.35
0.87;0.28
1.02;0.19
1.03;0.06
0.89;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.16
0.00;0.28
0.30;0.33
0.65;0.33
0.92;0.27
1.03;0.17
1.01;0.04
0.85;0.00
0.58;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.22
0.00;0.30
0.37;0.35
0.70;0.32
0.93;0.25
1.04;0.16
1.00;0.01
0.82;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.31
0.43;0.36
0.75;0.31
0.96;0.24
1.04;0.13
0.98;0.00
0.77;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.23
0.17;0.35
0.55;0.34
0.87;0.29
1.01;0.20
1.04;0.08
0.92;0.00
0.67;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.13
0.00;0.29
0.31;0.34
0.64;0.33
0.90;0.28
1.03;0.13
1.01;0.04
0.86;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.30
0.37;0.35
0.70;0.34
0.95;0.25
1.05;0.15
0.98;0.02
0.81;0.00
0.54;0.00
0.16;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.23
0.10;0.32
0.53;0.34
0.79;0.30
0.98;0.22
1.04;0.10
0.95;0.00
0.72;0.00
0.39;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.23;0.33
0.61;0.33
0.87;0.28
1.02;0.19
1.02;0.06
0.89;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.19
0.00;0.30
0.36;0.34
0.71;0.32
0.96;0.25
1.04;0.15
1.00;0.02
0.82;0.00
0.51;0.00
0.14;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.07
0.00;0.23
0.10;0.32
0.54;0.34
0.79;0.30
0.98;0.19
1.04;0.11
0.95;0.00
0.73;0.00
0.40;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.18;0.32
0.54;0.34
0.83;0.31
1.01;0.21
1.03;0.08
0.92;0.00
0.67;0.00
0.33;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.18
0.00;0.28
0.30;0.34
0.65;0.33
0.91;0.31
1.04;0.17
1.01;0.04
0.86;0.00
0.56;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.22
0.05;0.31
0.43;0.34
0.75;0.32
0.96;0.25
1.05;0.13
0.97;0.00
0.77;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.17;0.32
0.54;0.34
0.84;0.29
1.01;0.17
1.04;0.09
0.92;0.00
0.67;0.00
0.34;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.29
0.30;0.34
0.65;0.33
0.91;0.26
1.03;0.17
1.01;0.04
0.85;0.00
0.57;0.00
0.20;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.22
0.04;0.32
0.41;0.34
0.75;0.31
0.90;0.24
1.03;0.13
0.98;0.00
0.77;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.12
0.00;0.25
0.18;0.33
0.55;0.34
0.84;0.29
1.01;0.20
1.03;0.09
0.92;0.00
0.69;0.00
0.33;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.15
0.00;0.27
0.24;0.34
0.60;0.33
0.88;0.28
1.02;0.19
1.03;0.05
0.89;0.00
0.62;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.15
0.00;0.30
0.36;0.34
0.70;0.33
0.94;0.25
1.05;0.15
0.99;0.02
0.81;0.00
0.51;0.00
0.14;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.23
0.11;0.32
0.48;0.34
0.79;0.30
0.99;0.22
1.06;0.11
0.95;0.00
0.72;0.00
0.40;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.13
0.00;0.26
0.24;0.33
0.60;0.34
0.87;0.28
1.04;0.19
1.03;0.06
0.89;0.00
0.62;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.30
0.37;0.32
0.70;0.31
0.93;0.25
1.04;0.15
0.99;0.02
0.82;0.00
0.51;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.23
0.12;0.31
0.49;0.34
0.81;0.31
0.99;0.22
1.04;0.11
0.95;0.00
0.73;0.00
0.39;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.13
0.00;0.27
0.24;0.32
0.60;0.33
0.87;0.27
1.02;0.18
1.03;0.07
0.90;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.31
0.37;0.34
0.70;0.32
0.92;0.25
1.06;0.15
1.00;0.01
0.81;0.00
0.52;0.00
0.15;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.08
0.00;0.21
0.05;0.31
0.43;0.35
0.75;0.31
0.96;0.24
1.04;0.12
0.97;0.00
0.77;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.23;0.33
0.54;0.33
0.84;0.30
1.03;0.21
1.04;0.07
0.91;0.00
0.68;0.00
0.31;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.28
0.23;0.33
0.60;0.30
0.87;0.28
1.01;0.19
1.03;0.06
0.89;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.18
0.00;0.29
0.30;0.34
0.65;0.37
0.90;0.27
1.01;0.17
0.97;0.04
0.85;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.04;0.31
0.43;0.34
0.75;0.31
0.96;0.24
1.04;0.13
0.98;0.00
0.77;0.00
0.46;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.18;0.33
0.54;0.33
0.84;0.29
1.01;0.21
1.03;0.08
0.92;0.00
0.67;0.00
0.34;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.13
0.00;0.27
0.23;0.33
0.60;0.33
0.87;0.28
1.02;0.18
1.03;0.06
0.89;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.30
0.37;0.34
0.70;0.32
0.94;0.26
1.04;0.16
0.99;0.02
0.83;0.00
0.52;0.00
0.14;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.20
0.11;0.35
0.48;0.34
0.79;0.30
0.97;0.22
1.04;0.10
0.94;0.00
0.78;0.00
0.40;0.00
0.02;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.25
0.18;0.33
0.54;0.34
0.84;0.29
1.01;0.20
1.03;0.08
0.92;0.00
0.64;0.00
0.33;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.30;0.34
0.65;0.33
0.90;0.27
1.03;0.17
1.01;0.03
0.85;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.20
0.04;0.33
0.45;0.34
0.76;0.31
0.96;0.24
1.04;0.12
0.97;0.00
0.77;0.00
0.45;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.11
0.00;0.26
0.20;0.33
0.55;0.34
0.83;0.29
1.00;0.21
1.03;0.08
0.92;0.00
0.68;0.00
0.33;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.29
0.31;0.34
0.65;0.33
0.90;0.27
1.03;0.17
1.01;0.04
0.90;0.00
0.57;0.00
0.21;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.21
0.05;0.32
0.43;0.34
0.75;0.30
0.96;0.23
1.04;0.13
0.97;0.00
0.77;0.00
0.47;0.00
0.08;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.28
0.14;0.32
0.49;0.34
0.77;0.30
0.99;0.22
1.04;0.11
0.95;0.00
0.72;0.00
0.39;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.07
0.00;0.13
0.00;0.27
0.24;0.34
0.67;0.33
0.87;0.29
1.02;0.22
1.03;0.06
0.89;0.00
0.63;0.00
0.27;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.31
0.37;0.34
0.60;0.32
0.93;0.25
1.04;0.15
0.99;0.01
0.81;0.00
0.51;0.00
0.14;0.00
0.00;0.00
0.00;0.00
